PNA,CITY,ADRESS,WOJ,CONCAT,CONCAT_LONG,MUN_COU,ADRESS_2
62-300, Białężyce,września wrzesiński,wielkopolskie,września wrzesiński,,września wrzesiński,
64-700, Białężyn,czarnków czarnkowsko-,wielkopolskie,,czarnków czarnkowsko-trzcianecki,czarnków czarnkowsko-trzcianecki,czarnków czarnkowsko-
64-700, Białężyn,trzcianecki,wielkopolskie,,,,trzcianecki
62-095, Białężyn,murowana goślina poznański,wielkopolskie,murowana goślina poznański,,murowana goślina poznański,
22-300, Białka,krasnystaw krasnostawski,lubelskie,krasnystaw krasnostawski,,krasnystaw krasnostawski,
15-871, Białystok ks. Adama Abramowicza,białystok białystok,podlaskie,białystok białystok,,białystok białystok,
15-197, Białystok Afrodyty,białystok białystok,podlaskie,białystok białystok,,białystok białystok,
15-445, Białystok Aleja Józefa Piłsudskiego,2-12(p) białystok białystok,podlaskie,białystok białystok,,białystok białystok,2-12(p) 
15-443, Białystok Aleja Józefa Piłsudskiego,3-11(n) białystok białystok,podlaskie,białystok białystok,,białystok białystok,3-11(n) 
15-444, Białystok Aleja Józefa Piłsudskiego,13-dk(n) białystok białystok,podlaskie,białystok białystok,,białystok białystok,13-dk(n) 
15-446, Białystok Aleja Józefa Piłsudskiego,"16-38(p), białystok białystok",podlaskie,białystok białystok,,białystok białystok,"16-38(p), "
15-446, Białystok Aleja Józefa Piłsudskiego,46-dk(p),podlaskie,,,,46-dk(p)
15-088, Białystok Aleja Józefa Piłsudskiego,44 białystok białystok,podlaskie,białystok białystok,,białystok białystok,44 
15-587, Białystok Algebraiczna,białystok białystok,podlaskie,białystok białystok,,białystok białystok,
15-124, Białystok gen. Władysława Andersa,"2-36(p), 5-15(n) białystok białystok",podlaskie,białystok białystok,,białystok białystok,"2-36(p), 5-15(n) "
15-113, Białystok gen. Władysława Andersa,"38-dk(p), białystok białystok",podlaskie,białystok białystok,,białystok białystok,"38-dk(p), "
15-113, Białystok gen. Władysława Andersa,71-dk(n),podlaskie,,,,71-dk(n)
15-685, Białystok Andromedy,białystok białystok,podlaskie,białystok białystok,,białystok białystok,
15-204, Białystok ks. Stanisława Andrukiewicza,białystok białystok,podlaskie,białystok białystok,,białystok białystok,
15-386, Białystok Angielska,"1-2, 3-21(n), białystok białystok",podlaskie,białystok białystok,,białystok białystok,"1-2, 3-21(n), "
15-386, Białystok Angielska,4-26a(p),podlaskie,,,,4-26a(p)
15-376, Białystok Angielska,"21-dk(n), białystok białystok",podlaskie,białystok białystok,,białystok białystok,"21-dk(n), "
15-376, Białystok Angielska,28-dk(p),podlaskie,,,,28-dk(p)
15-410, Białystok św. Anny,białystok białystok,podlaskie,białystok białystok,,białystok białystok,
15-166, Białystok Jerzego Antoniewicza,białystok białystok,podlaskie,białystok białystok,,białystok białystok,
61-375, Poznań (Poznań-,pawia poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,pawia 
,,pawia poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,pawia 
60-461, Poznań (Poznań-,marii pawlikowskiej-jasnorzewskiej poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,marii pawlikowskiej-jasnorzewskiej 
,,marii pawlikowskiej-jasnorzewskiej poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,marii pawlikowskiej-jasnorzewskiej 
60-480, Poznań (Poznań-,pawłowicka poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,pawłowicka 
,,pawłowicka poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,pawłowicka 
60-681, Poznań (Poznań-,stanisława pawłowskiego poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,stanisława pawłowskiego 
,,stanisława pawłowskiego poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,stanisława pawłowskiego 
60-446, Poznań (Poznań-,pelplińska poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,pelplińska 
,,pelplińska poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,pelplińska 
61-058, Poznań (Poznań-,perkoza poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,perkoza 
,,perkoza poznań poznań,wielkopolskie,poznań poznań,,poznań poznań,perkoza 
15-732, Białystok,choroszczańska białystok białystok,podlaskie,białystok białystok,,białystok białystok,choroszczańska 
